"func","pack","navn","description","keyword","url","pack_url"
"edit_constraints","sadashboard","Edit a constraint data frame object.","For redigering av celler spesifikasjonsfil objektet og åpner det for redigering med R-pakken DataEditR","rfunc sesongjustering 6.1","https://statisticsnorway.github.io/ssb-sadashboard/reference/edit_constraints.html","https://github.com/statisticsnorway/ssb-sadashboard/"
"fill.template","ReGenesees","Fill the Known Totals Template for a Calibration Task","Given a template prepared to store the totals of the auxiliary variables for a specific calibration task, computes the actual values of such totals from a sampling frame.","rfunc vektberegning 5.6 5.7","https://diegozardetto.github.io/ReGenesees/reference/fill.template.html","https://github.com/statisticsnorway/ReGenesees/"
"GaussSuppressDec","GaussSuppression","Cell suppression with synthetic decimal numbers","'GaussSuppressionFromData', or one of its wrappers, is run and decimal numbers are added to output by executing 'SuppressDec'.","rfunc konfidensialitet undertrykking 6.4","https://statisticsnorway.github.io/ssb-gausssuppression/reference/GaussSuppressDec.html","https://cran.r-project.org/web/packages/GaussSuppression/index.html"
"GaussSuppressionFromData","GaussSuppression","Cell suppression from input data containing inner cells","Aggregates are generated followed by primary suppression followed by secondary suppression by Gaussian elimination by 'GaussSuppression'","rfunc konfidensialitet undertrykking 6.4","https://statisticsnorway.github.io/ssb-gausssuppression/reference/GaussSuppressionFromData.html","https://cran.r-project.org/web/packages/GaussSuppression/index.html"
"get_estimates","statstruk","Get Estimates","Get estimates for previously run model within strata or domains. Variance and CV estimates are returned for each domain.","python vektberegning modellbasert usikkerhetsberegning 5.7","https://statisticsnorway.github.io/ssb-statstruk/reference.html#statstruk.ratemodel.ratemodel.get_estimates","https://statisticsnorway.github.io/ssb-statstruk/"
"get_extremes","struktuR","Get extreme values Get extreme values in the sample dataset","Get extreme values Get extreme values in the sample dataset","rfunc kontrollere statistisk 5.3","https://statisticsnorway.github.io/ssb-struktur/reference/get_extremes.html","https://github.com/statisticsnorway/struktuR/"
"get_extremes","statstruk","Get extremes","Get observations with extreme values based on their rstudized residual value or G value.","python kontrollere statistisk 5.3","https://statisticsnorway.github.io/ssb-statstruk/reference.html#statstruk.ratemodel.ratemodel.get_extremes","https://statisticsnorway.github.io/ssb-statstruk/"
"get_weights","statstruk","Get weights","Get sample data with weights based on model.","python vektberegning modellbasert 5.6","https://statisticsnorway.github.io/ssb-statstruk/reference.html#statstruk.ratemodel.ratemodel.get_weights","https://statisticsnorway.github.io/ssb-statstruk/"
"Hb","Kostra","Detection of outliers using the Hidiroglou-Berthelot (HB) method","Detects possible outliers of a variable in period t by comparing it with revised values from period t-1","rfunc kontrollere statistisk 5.3","https://rdrr.io/github/statisticsnorway/Kostra/man/Hb.html","https://github.com/statisticsnorway/Kostra/"
"HierarchyCompute","SSBtools","Hierarchical Computations","This function computes aggregates by crossing several hierarchical specifications and factorial variables.","rfunc strukturere 5.7","https://statisticsnorway.github.io/ssb-ssbtools/reference/HierarchyCompute.html","https://cran.r-project.org/web/packages/SSBtools/index.html"
"impute_knn","simputation","Hot deck imputation","Hot-deck imputation methods include random and sequential hot deck, k-nearest neighbours imputation and predictive mean matching.","rfunc imputere donor 5.4","https://rdrr.io/cran/simputation/man/impute_hotdeck.html","https://cran.r-project.org/web/packages/simputation/index.html"
"impute_proxy","simputation","Impute by variable derivation","Impute missing values by a constant, by copying another variable computing transformations from other variables.","rfunc imputere donor 5.4","https://rdrr.io/cran/simputation/man/impute_proxy.html","https://cran.r-project.org/web/packages/simputation/index.html"
"impute_rhd","simputation","Hot deck imputation","Hot-deck imputation methods include random and sequential hot deck, k-nearest neighbours imputation and predictive mean matching.","rfunc imputere donor 5.4","https://rdrr.io/cran/simputation/man/impute_hotdeck.html","https://cran.r-project.org/web/packages/simputation/index.html"
"konstruksjon","pickmdl","Lage faktorer for kalendereffekter","Fleksibel funksjon som lager ulike kalendervariable, som f.eks. TD-, WD- og påskevariable, tilpasset norske forhold.","rfunc sesongjustering 6.1","https://statisticsnorway.github.io/ssb-pickmdl/reference/konstruksjon.html","https://github.com/statisticsnorway/pickmdl/"
"lm","stats","Fitting Linear Models","'lm' is used to fit linear models. It can be used to carry out regression, single stratum analysis of variance and analysis of covariance (although aov may provide a more convenient interface for these).","rfunc imputere analyse modellbasert 5.4 5.7","https://search.r-project.org/R/refmans/stats/html/lm.html","https://search.r-project.org/R/refmans/stats/html/00Index.html"
"LmImpute","Kostra","INTERNAL FUNCTION: Regeression imputation.","Imputation by weighted regeression, using lm, allowing multiple explanatory variables and multiple response variables. Impute missing and wrong values (category 3) by the model based on representative data (category 1). Some data are considered correct but not representative (category 2).","rfunc imputere modellbasert kontrollere statistisk 5.4","https://rdrr.io/github/statisticsnorway/Kostra/man/LmImpute.html","https://github.com/statisticsnorway/Kostra/"
"make_paramfile","sadashboard","Create an initial parameter file where all values in a column are the same","Oppretter en initial parameterfil der alle verdiene i en kolonne er de samme","rfunc sesongjustering 6.1","https://statisticsnorway.github.io/ssb-sadashboard/reference/make_paramfile.html","https://github.com/statisticsnorway/ssb-sadashboard/"
"model_aggregate","SSBtools","Hierarchical aggregation via model specification","Internally a dummy/model matrix is created according to the model specification. This model matrix is used in the aggregation process via matrix multiplication and/or the function 'aggregate_multiple_fun'.","rfunc strukturere 5.7 6.2","https://statisticsnorway.github.io/ssb-ssbtools/reference/model_aggregate.html","https://cran.r-project.org/web/packages/SSBtools/index.html"
"modifier","dcmodify","Create or read a set of data modification rules","Create or read a set of data modification rules","rfunc imputere regelbasert 5.4","https://rdrr.io/cran/dcmodify/man/modifier.html","https://cran.r-project.org/web/packages/dcmodify/index.html"
"OLS","statsmodels.regression.linear_model","Ordinary Least Squares","Convert a collection of text documents to a matrix of token counts.","python imputere modellbasert vektberegning analyse 5.4 5.7","https://www.statsmodels.org/stable/generated/statsmodels.regression.linear_model.OLS.html","https://www.statsmodels.org/stable/index.html"
"OutlierRegressionMicro","Kostra","Finding outliers of a sigle variable (y) by a regression model","outliers are found by using a limit for studentized residuals.","rfunc kontrollere statistisk 5.3","https://rdrr.io/github/statisticsnorway/Kostra/man/OutlierRegression.html","https://github.com/statisticsnorway/Kostra/"
"PanelEstimation","CalibrateSSB","Variance estimation for panel data","Variance estimation of linear combinations of totals and ratios based on output from wideFromCalibrate","rfunc vektberegning usikkerhetsberegning designbasert 5.7","https://rdrr.io/cran/CalibrateSSB/man/PanelEstimation.html","https://cran.r-project.org/web/packages/CalibrateSSB/index.html"
"PLSroundingPublish","SmallCountRounding","PLS inspired rounding","Small count rounding of necessary inner cells are performed so that all small frequencies of cross-classifications to be published (publishable cells) are rounded. The publishable cells can be defined from a model formula, hierarchies or automatically from data.","rfunc konfidensialitet avrunding 6.4","https://statisticsnorway.github.io/ssb-smallcountrounding/reference/PLSrounding.html","https://cran.r-project.org/web/packages/SmallCountRounding/index.html"
"pop.template","ReGenesees","Template Data Frame for Known Population Totals","Constructs a _""template""_ data frame to store known population totals for a calibration problem.","rfunc vektberegning 5.6 5.7","https://diegozardetto.github.io/ReGenesees/reference/pop.template.html","https://github.com/statisticsnorway/ReGenesees/"
"ProtectKostra","Kostra","Table suppression according to a frequency rule following the","Table suppression according to a frequency rule following the standards in the Kostra project.","rfunc konfidensialitet undertrykking 6.4","https://statisticsnorway.github.io/ssb-kostra/reference/ProtectKostra.html","https://statisticsnorway.github.io/ssb-kostra/index.html"
"ProtectTableData","easySdcTable","Easy interface to sdcTable: Table suppression according to a","'GaussSuppression', 'protectTable' or 'protect_linked_tables' is run with a data set as the only required input. One (stacked) or several (unstacked) input variables can hold cell counts. 'ProtectTableData' is a tidy wrapper function, which returns a single data frame instead of a list ('info' omitted).","rfunc konfidensialitet undertrykking 6.4","https://rdrr.io/cran/easySdcTable/man/ProtectTable.html","https://cran.r-project.org/web/packages/easySdcTable/index.html"
"quantile_weighted","SSBtools","Weighted quantiles","The default method ('type=2') corresponds to weighted percentiles in SAS.","rfunc analyse vektberegning 5.6","https://statisticsnorway.github.io/ssb-ssbtools/reference/quantile_weighted.html","https://cran.r-project.org/web/packages/SSBtools/index.html"
"Quartile","Kostra","Detection of outliers using quartiles and by comparing with other","Detection of outliers using quartiles and by comparing with other data in same or previous period.","rfunc kontrollere statistisk 5.3","https://rdrr.io/github/statisticsnorway/Kostra/man/Quartile.html","https://github.com/statisticsnorway/Kostra/"
"Rank2NumVar","Kostra","Comparing the biggest units with respect to two numerical","Calculating rank and share for two numerical variables, and the ratio between the variables Listing big units, either the k biggest units or units with value greater than a threshold","rfunc kontrollere statistisk 5.3","https://rdrr.io/github/statisticsnorway/Kostra/man/Rank2NumVar.html","https://github.com/statisticsnorway/Kostra/"
"ratemodel","statstruk","ratemodel module","Class for estimating statistics for business surveys using a rate model.","python vektberegning modellbasert 5.7","https://statisticsnorway.github.io/ssb-statstruk/reference.html#statstruk.ratemodel.ratemodel","https://statisticsnorway.github.io/ssb-statstruk/"
"sa_quality_report","sadashboard","Quality Report for Seasonal Adjustment with RJDemetra","Wrapper function for creating a html-document with interactive quality report for seasonal adjustment with RJdemetra. The quality report includes tables with selected quality indicators. User may also choose to include interactive plots of seasonally adjusted time series.","rfunc sesongjustering 6.1","https://statisticsnorway.github.io/ssb-sadashboard/reference/sa_quality_report.html","https://github.com/statisticsnorway/ssb-sadashboard/"
"sdc_lonn","sdclonn","Undertrykking i lønnsstatistikk","Input er mikrodata og output er (samordnede) tabell(er) med alle ønskede aggregeringsnivåer.","rfunc konfidensialitet undertrykking 6.4","https://statisticsnorway.github.io/ssb-sdclonn/reference/sdc_lonn.html","https://statisticsnorway.github.io/ssb-sdclonn/reference/index.html"
"SdcForetakPerson","SdcForetakPerson","Prikking av foretak og avrunding eller prikking av personer","Prikking av foretak og avrunding eller prikking av personer. Sett parameteren 'allowTotal' til 'TRUE' for at kategorier innen ('within') foretak skal prikkes samtidig som totalverdier over disse grupperingene tillates publisert.","rfunc konfidensialitet undertrykking avrunding 6.4","https://statisticsnorway.github.io/ssb-sdcforetakperson/reference/SdcForetakPerson.html","https://github.com/statisticsnorway/SdcForetakPerson/"
"shortest_path_cppRouting","GISSB","Shortest path (cppRouting)","The function 'shortest_path_cppRouting' can be used to calculate the shortest path (either in minutes or meters) between two or more nodes in the Norwegian road network. The function also works with vectors with multiple from and to node ID<e2><80><99>s. Before the function can be used, the road network must be converted to a 'cppRouting' object that is called 'graph_cppRouting_minutes' or 'graph_cppRouting_meters' (or other with other names supplied to the 'graph_cppRouting_object' argument). This can be done with the function 'vegnett_to_R()'.","rfunc analyse romlig","https://statisticsnorway.github.io/GISSB/reference/shortest_path_cppRouting.html","https://statisticsnorway.github.io/GISSB/"
"shortest_path_igraph","GISSB","Shortest path (igraph)","The function 'shortest_path_igraph' can be used to calculate the shortest path (either in minutes or meters) between nodes in the Norwegian road network. The function can also return the node link, i.e. path, that the shortest path consists of.","rfunc analyse romlig","https://statisticsnorway.github.io/GISSB/reference/shortest_path_igraph.html","https://statisticsnorway.github.io/GISSB/"
"struktur_model","struktuR","Run a struktur model","Estimates total and uncertainty for a rate, homogeneous or regression model within strata.","rfunc vektberegning modellbasert 5.6 5.7","https://statisticsnorway.github.io/ssb-struktur/reference/struktur_model.html","https://github.com/statisticsnorway/struktuR/"
"SuppressDominantCells","GaussSuppression","Suppress magnitude tables using dominance (n,k) or p% rule for","This function utilizes 'MagnitudeRule'.","rfunc konfidensialitet undertrykking 6.4","https://statisticsnorway.github.io/ssb-gausssuppression/reference/SuppressDominantCells.html","https://cran.r-project.org/web/packages/GaussSuppression/index.html"
"SuppressFewContributors","GaussSuppression","Few contributors suppression","This function provides functionality for suppressing magnitude tables based on the few contributors rule ('NContributorsRule').","rfunc konfidensialitet undertrykking 6.4","https://statisticsnorway.github.io/ssb-gausssuppression/reference/SuppressFewContributors.html","https://cran.r-project.org/web/packages/GaussSuppression/index.html"
"SuppressionFromDecimals","GaussSuppression","Cell suppression from synthetic decimal numbers","Decimal numbers, as calculated by 'GaussSuppressDec', are used to decide suppression (whole numbers or not). Technically, the calculations are done via 'GaussSuppressionFromData', but without running 'GaussSuppression'. All suppressed cells are primary suppressed.","rfunc konfidensialitet undertrykking 6.4","https://statisticsnorway.github.io/ssb-gausssuppression/reference/SuppressionFromDecimals.html","https://cran.r-project.org/web/packages/GaussSuppression/index.html"
"SuppressKDisclosure","GaussSuppression","K-disclosure suppression","A function for suppressing frequency tables using the k-disclosure method.","rfunc konfidensialitet undertrykking 6.4","https://statisticsnorway.github.io/ssb-gausssuppression/reference/SuppressKDisclosure.html","https://cran.r-project.org/web/packages/GaussSuppression/index.html"
"SuppressSmallCounts","GaussSuppression","Small count frequency table suppression.","This is a wrapper function of 'GaussSuppressionFromData' for small count frequency suppression. For common applications, the 'spec' parameter can be adjusted, see 'PackageSpecs' for more information. See Details for more information on function call customization.","rfunc konfidensialitet undertrykking 6.4","https://statisticsnorway.github.io/ssb-gausssuppression/reference/SuppressSmallCounts.html","https://cran.r-project.org/web/packages/GaussSuppression/index.html"
"SVC","sklearn.svm","C-Support Vector Classification.","The implementation is based on libsvm. The fit time scales at least quadratically with the number of samples and may be impractical beyond tens of thousands of samples.","python imputere maskinlaering 5.2 5.4","https://scikit-learn.org/stable/modules/generated/sklearn.svm.SVC.html#sklearn.svm.SVC","https://scikit-learn.org/stable/index.html"
"svystatL","ReGenesees","Estimation of Complex Estimators in Subpopulations","Computes estimates, standard errors and confidence intervals for Complex Estimators in subpopulations. A Complex Estimator can be any analytic function of (Horvitz-Thompson or Calibration) estimators of Totals and Means.","rfunc vektberegning 5.7","https://diegozardetto.github.io/ReGenesees/reference/svystatL.html","https://github.com/statisticsnorway/ReGenesees/"
"svystatTM","ReGenesees","Estimation of Totals and Means in Subpopulations","Computes estimates, standard errors and confidence intervals for Totals and Means in subpopulations.","rfunc vektberegning 5.7","https://diegozardetto.github.io/ReGenesees/reference/svystatTM.html","https://github.com/statisticsnorway/ReGenesees/"
"tables_by_formulas","SSBtools","Tabular Statistics Based on Formulas","This function acts as an overlay for functions that produce tabular statistics through an interface utilizing the 'ModelMatrix()' function and its 'formula' parameter. Each table (individual statistic) is defined by a formula. The output is a single 'data.frame' that contains the results for all tables.","rfunc strukturere 5.7","https://statisticsnorway.github.io/ssb-ssbtools/reference/tables_by_formulas.html","https://cran.r-project.org/web/packages/SSBtools/index.html"
"ThError","Kostra","Detection of 1000-error","Detects units with possible 1000-error by comparing values in period t with revised values from period t-1","rfunc kontrollere statistisk 5.3","https://rdrr.io/github/statisticsnorway/Kostra/man/ThError.html","https://github.com/statisticsnorway/Kostra/"
"validator","validate","Define validation rules for data","Define validation rules for data","rfunc kontrollere regelbasert 5.3","https://rdrr.io/cran/validate/man/validator.html","https://cran.r-project.org/web/packages/validate/index.html"
"weights","ReGenesees","Retrieve Sampling Units Weights","Extracts the _current_ weights of units belonging to a survey design object.","rfunc vektberegning 5.6","https://diegozardetto.github.io/ReGenesees/reference/weights.html","https://github.com/statisticsnorway/ReGenesees/"
"x13","RJDemetra","Seasonal Adjustment with X13-ARIMA","Functions to estimate the seasonally adjusted series (sa) with the X13-ARIMA method. This is achieved by decomposing the time series (y) into the trend-cycle (t), the seasonal component (s) and the irregular component (i). The final seasonally adjusted series shall be free of seasonal and calendar-related movements. x13 returns a preformatted result while jx13 returns the Java objects resulting from the seasonal adjustment.","rfunc sesongjustering 6.1","https://rdrr.io/cran/RJDemetra/man/x13.html","https://cran.r-project.org/web/packages/RJDemetra/index.html"
"x13_automdl","pickmdl","x13 with PICKMDL and partial concurrent possibilities","x13 can be run as usual (automdl) or with a PICKMDL specification. The ARIMA model, outliers and filters can be identified at a certain date and then held fixed (with a new outlier-span).","rfunc sesongjustering 6.1","https://statisticsnorway.github.io/ssb-pickmdl/reference/x13_pickmdl.html","https://github.com/statisticsnorway/pickmdl/"
"x13_both","pickmdl","x13_spec and x13_pickmdl wrapped as a single function","Output is determined by the parameter: both_output.","rfunc sesongjustering 6.1","https://statisticsnorway.github.io/ssb-pickmdl/reference/x13_both.html","https://github.com/statisticsnorway/pickmdl/"
"x13_pickmdl","pickmdl","x13 with PICKMDL and partial concurrent possibilities","x13 can be run as usual (automdl) or with a PICKMDL specification. The ARIMA model, outliers and filters can be identified at a certain date and then held fixed (with a new outlier-span).","rfunc sesongjustering 6.1","https://statisticsnorway.github.io/ssb-pickmdl/reference/x13_pickmdl.html","https://github.com/statisticsnorway/pickmdl/"
"x13_spec","RJDemetra","X-13ARIMA model specification, SA/X13","Function to create (and/or modify) a c(""SA_spec"", ""X13"") class object with the SA model specification for the X13 method. It can be done from a pre-defined ""JDemetra+"" model specification (a character), a previous specification (c(""SA_spec"", ""X13"") object) or a seasonal adjustment model (c(""SA"", ""X13"") object).","rfunc sesongjustering 6.1","https://rdrr.io/cran/RJDemetra/man/x13_spec.html","https://cran.r-project.org/web/packages/RJDemetra/index.html"
"x13_text_frame","pickmdl","Multiple x13_both runs with code input from a data frame","Gjør det mulig med sesongjustering av mange serier basert på parametere i en data.frame (f.eks lest inn fra en excel-fil).","rfunc sesongjustering 6.1","https://statisticsnorway.github.io/ssb-pickmdl/reference/x13_text_frame.html","https://github.com/statisticsnorway/pickmdl/"
